Influencer ID,Influencer Name,Username,Follower Count,Following Count,Total Posts,Average Likes per Post,Average Comments per Post,Engagement Rate (%),Post Type,Hashtags Used,Post Reach,Post Impressions,Story Views,Sponsorship Deals,Brand Collaborations,Country,Content Category,Verified Account,Monetization Status
INF2724,Ethan White,sophia_wilson29,625835,462,415,55256,1277,9.03,Story,"#travel, #fitness, #music, #beauty, #gaming",344731,596511,107932,6,6,Germany,Photography,No,Active
INF6661,Emily Davis,ethan_white35,565868,267,232,30246,609,5.45,Video,"#love, #music",392525,781494,,5,20,France,Gaming,Yes,Inactive
INF9145,Daniel Martinez,david_smith47,919051,208,1171,60743,4590,7.11,Video,"#love, #tech",210305,291397,,2,34,USA,Travel,Yes,Inactive
INF5620,Alice Johnson,isabella_thomas17,2271675,980,4091,59362,5345,2.85,Story,"#love, #fashion, #gaming",500763,679503,152270,0,0,USA,Fashion,No,Inactive
INF2797,Ethan White,alice_johnson68,835193,559,2033,56273,2357,7.02,Video,"#fitness, #beauty",594150,920179,,17,28,UK,Beauty,Yes,Inactive
INF4437,Isabella Thomas,david_smith54,2713948,594,1525,203380,18148,8.16,Photo,"#music, #gaming, #fitness",845062,1546537,,11,22,USA,Fitness,Yes,Inactive
INF7201,James Anderson,emily_davis31,2926793,617,1012,79748,3460,2.84,Video,"#fitness, #tech",1855203,3402249,,2,10,Italy,Music,Yes,Inactive
INF6366,Isabella Thomas,james_anderson99,955831,316,4649,14194,565,1.54,Video,#fashion,432866,546777,,18,40,Australia,Gaming,Yes,Active
INF9318,Alice Johnson,isabella_thomas30,3926783,918,3511,294407,12625,7.82,Reel,"#beauty, #travel, #fashion, #foodie, #instagood",2862509,4129921,,13,50,Australia,Fitness,Yes,Inactive
INF9892,Michael Brown,daniel_martinez99,968074,470,1912,74555,3081,8.02,Photo,"#gaming, #foodie, #fashion, #tech",479506,906791,,16,22,Australia,Music,No,Inactive
INF4957,Michael Brown,david_smith90,2683054,391,3688,33767,694,1.28,Video,"#fitness, #travel, #instagood, #music, #tech",1484116,2893019,,10,1,USA,Tech,Yes,Inactive
INF7923,James Anderson,david_smith52,2375162,123,3268,62781,2637,2.75,Story,"#gaming, #love",642637,1108132,448215,14,30,France,Gaming,Yes,Inactive
INF9101,Ethan White,daniel_martinez15,3803048,863,3968,119191,2728,3.21,Photo,"#travel, #fashion, #tech, #beauty",2404653,3161056,,9,40,Canada,Photography,Yes,Active
INF8908,Alice Johnson,ethan_white18,1939024,141,3550,131511,7495,7.17,Photo,"#tech, #foodie, #instagood, #love, #fitness",1136912,1825483,,18,12,France,Fashion,Yes,Active
INF3136,Michael Brown,alice_johnson49,1382498,778,4411,66178,3326,5.03,Story,"#instagood, #fitness, #gaming, #love, #beauty",860143,1120485,349976,1,33,USA,Fashion,No,Active
INF9873,James Anderson,alice_johnson80,4893851,469,1556,213797,7837,4.53,Story,"#travel, #love, #gaming",2012480,3640096,682869,4,47,Brazil,Tech,No,Active
INF6850,Emily Davis,olivia_taylor59,208064,478,2744,16127,721,8.1,Story,#instagood,120490,178245,53415,17,27,USA,Food,Yes,Active
INF6046,Daniel Martinez,isabella_thomas16,2276007,316,1496,72900,2122,3.3,Video,"#music, #foodie",1545462,2488513,,2,4,France,Gaming,Yes,Active
INF5168,Olivia Taylor,olivia_taylor37,3137203,672,4919,140049,10411,4.8,Video,#fashion,1654239,3151419,,20,35,Japan,Food,Yes,Active
INF8869,Isabella Thomas,isabella_thomas55,3065339,657,1470,187837,15277,6.63,Story,"#fashion, #love, #gaming, #music, #instagood",1699350,2579245,714647,15,27,Japan,Tech,Yes,Inactive
INF9710,Alice Johnson,sophia_wilson72,2700526,823,2015,187571,10622,7.34,Reel,"#foodie, #love, #beauty",2003670,3181645,,10,36,Japan,Fashion,No,Active
INF7868,Emily Davis,daniel_martinez29,4780002,211,1090,365152,36237,8.4,Story,"#fitness, #foodie, #love",3230955,4946155,1423244,1,5,Brazil,Music,Yes,Active
INF4608,David Smith,olivia_taylor33,1524140,476,4016,50472,1051,3.38,Story,"#fashion, #beauty, #travel, #tech, #fitness",718881,907981,335522,1,20,Brazil,Photography,Yes,Inactive
INF8690,Daniel Martinez,sophia_wilson32,765150,92,1865,36333,3159,5.16,Video,"#foodie, #love, #travel, #fashion",218477,435240,,9,46,India,Food,No,Active
INF4021,David Smith,olivia_taylor93,4557936,391,3837,252461,19067,5.96,Photo,"#beauty, #fashion, #love, #fitness, #instagood",2990943,5038591,,7,25,Brazil,Photography,Yes,Active
INF3072,Alice Johnson,daniel_martinez50,1947478,513,3397,77012,2437,4.08,Video,"#music, #instagood, #fashion, #gaming, #tech",1372389,2408969,,16,2,Germany,Tech,No,Inactive
INF1211,Daniel Martinez,david_smith25,537367,623,3620,22563,1496,4.48,Photo,#fitness,302196,468069,,20,43,Brazil,Food,Yes,Active
INF7711,Michael Brown,james_anderson27,1511730,602,2041,56095,1599,3.82,Video,"#travel, #tech, #music",381796,739954,,5,27,Brazil,Fashion,Yes,Active
INF6907,Alice Johnson,ethan_white68,3893421,229,4906,257235,8358,6.82,Reel,"#beauty, #tech, #fitness, #music",1874512,3028926,,1,20,Australia,Food,Yes,Inactive
INF5323,Olivia Taylor,emily_davis22,509190,182,4151,31913,1330,6.53,Video,"#beauty, #foodie",360363,629621,,4,50,Germany,Beauty,No,Active
INF2048,Alice Johnson,david_smith25,3727851,286,1858,69366,4037,1.97,Story,#travel,797261,1286262,429062,19,14,Brazil,Food,No,Active
INF2642,Michael Brown,james_anderson86,3305070,165,3482,47155,1055,1.46,Story,"#travel, #beauty, #fitness, #love, #foodie",886488,1321378,549288,7,1,Australia,Travel,Yes,Active
INF4829,Olivia Taylor,alice_johnson34,1003841,450,1042,43139,1265,4.42,Reel,#gaming,275416,481712,,11,50,USA,Comedy,Yes,Inactive
INF8957,Olivia Taylor,daniel_martinez30,4916303,386,1391,295188,28397,6.58,Reel,"#fitness, #travel",2111907,2655140,,4,35,Australia,Photography,No,Active
INF4292,Olivia Taylor,sophia_wilson81,4759340,50,4026,69836,2272,1.52,Story,"#tech, #love, #gaming, #fitness, #instagood",1078209,1829715,532730,6,37,Germany,Fitness,No,Inactive
INF6332,James Anderson,sophia_wilson59,2888943,440,3337,39822,2285,1.46,Photo,"#foodie, #instagood, #fitness, #music",2171220,2893957,,19,37,Canada,Comedy,Yes,Inactive
INF7853,Isabella Thomas,olivia_taylor91,3166227,303,2347,222876,9464,7.34,Video,#travel,1276731,1985089,,5,20,Italy,Gaming,No,Inactive
INF7932,Emily Davis,daniel_martinez67,2779080,784,1233,226075,21910,8.92,Video,"#tech, #beauty",1679404,2475345,,4,30,Japan,Food,Yes,Inactive
INF7583,Isabella Thomas,daniel_martinez78,2464215,581,2584,246161,23293,10.93,Photo,"#music, #love, #instagood",979300,1405691,,13,28,Japan,Gaming,No,Inactive
INF4521,Isabella Thomas,ethan_white44,1231467,226,1648,84901,7694,7.52,Reel,#tech,792445,1071134,,7,29,Germany,Beauty,No,Active
INF6190,Olivia Taylor,james_anderson76,1057681,990,1714,91635,7532,9.38,Video,"#tech, #love, #music",814810,1483394,,14,50,Canada,Tech,Yes,Inactive
INF9233,Sophia Wilson,sophia_wilson21,396358,142,421,33103,2401,8.96,Video,"#instagood, #fashion, #love, #foodie",173294,211713,,18,9,Japan,Photography,No,Inactive
INF7158,Isabella Thomas,olivia_taylor82,2969122,702,3469,264877,23533,9.71,Video,"#fashion, #music, #beauty",686183,1009660,,4,50,Italy,Beauty,No,Inactive
INF6787,Daniel Martinez,michael_brown65,1391852,269,4077,17619,513,1.3,Video,"#travel, #music, #tech, #foodie, #gaming",841112,1441212,,16,16,Germany,Photography,Yes,Inactive
INF7790,Ethan White,isabella_thomas88,2977938,108,486,272940,11097,9.54,Photo,"#travel, #love, #foodie",1637231,2787336,,9,28,Germany,Travel,Yes,Inactive
INF5362,James Anderson,isabella_thomas35,4194452,931,2274,142759,10696,3.66,Photo,"#foodie, #music, #beauty, #love",2074151,2964146,,10,12,India,Fashion,No,Active
INF2553,James Anderson,isabella_thomas32,3664861,675,1129,106120,4928,3.03,Story,"#tech, #foodie, #beauty, #gaming",1855959,3661784,659832,6,6,Australia,Travel,Yes,Active
INF4186,Michael Brown,sophia_wilson94,3841277,923,1787,218438,14753,6.07,Video,#beauty,1124877,1941128,,16,22,Germany,Travel,No,Active
INF3606,Ethan White,sophia_wilson53,4102850,857,4212,169618,6866,4.3,Story,"#foodie, #tech, #travel, #fashion",1161051,1615327,732739,6,40,Canada,Gaming,Yes,Active
INF6137,Emily Davis,michael_brown24,224228,966,3718,19525,1698,9.46,Video,#instagood,79803,113713,,7,22,USA,Photography,No,Inactive
INF6319,Daniel Martinez,michael_brown15,2833500,724,2493,68653,1517,2.48,Reel,"#tech, #gaming",875714,1669220,,16,22,India,Comedy,No,Active
INF9209,Isabella Thomas,ethan_white42,718451,487,2234,63775,3854,9.41,Story,"#fashion, #instagood, #beauty",168273,274820,90043,6,12,India,Beauty,Yes,Active
INF4741,Daniel Martinez,james_anderson93,2931776,784,3481,172501,9209,6.2,Photo,#fashion,1972938,3809472,,15,45,USA,Travel,No,Inactive
INF1490,Alice Johnson,daniel_martinez44,98456,911,2162,2512,196,2.75,Reel,"#fashion, #beauty, #fitness, #love",50517,93869,,12,21,Germany,Food,Yes,Inactive
INF1857,Alice Johnson,james_anderson36,503633,858,2096,43508,997,8.84,Story,"#foodie, #instagood",292603,513331,152510,4,0,India,Fashion,Yes,Inactive
INF4319,Olivia Taylor,james_anderson51,3819580,80,661,142210,13709,4.08,Photo,"#gaming, #tech",951091,1245016,,20,3,Germany,Tech,Yes,Inactive
INF2834,David Smith,james_anderson76,3938829,813,3445,156637,12213,4.29,Reel,"#love, #tech",3060423,3820328,,20,7,India,Beauty,No,Active
INF6983,Isabella Thomas,james_anderson81,2991366,748,846,58068,1569,1.99,Video,"#instagood, #travel, #love",1570214,2233299,,14,24,Japan,Food,No,Inactive
INF2923,James Anderson,sophia_wilson10,444081,636,3118,19231,1392,4.64,Story,"#fitness, #love, #gaming",171859,290707,64422,20,5,Brazil,Gaming,No,Inactive
INF6459,David Smith,ethan_white62,4149538,713,2253,67129,5045,1.74,Photo,"#instagood, #tech, #love",3105381,5512520,,8,3,Italy,Comedy,No,Active
INF5528,David Smith,michael_brown29,3148765,266,1506,216224,6476,7.07,Reel,"#fitness, #fashion, #travel, #tech, #gaming",2067062,3242086,,7,45,Germany,Travel,Yes,Inactive
INF2868,Sophia Wilson,olivia_taylor66,1951878,208,2568,50029,1045,2.62,Story,"#love, #fitness",522198,743918,199198,19,21,USA,Fashion,No,Inactive
INF2723,Daniel Martinez,alice_johnson98,2555296,511,4246,73327,3974,3.03,Photo,#gaming,609318,1196677,,2,40,Canada,Music,No,Active
INF5469,Isabella Thomas,sophia_wilson43,211517,80,1301,20246,859,9.98,Photo,"#foodie, #love, #beauty",117913,224580,,20,18,Italy,Beauty,Yes,Inactive
INF3680,Sophia Wilson,emily_davis18,3417228,495,1815,68618,3202,2.1,Video,"#music, #instagood, #foodie, #tech, #fitness",2525142,4452755,,11,47,UK,Photography,No,Inactive
INF8045,Isabella Thomas,ethan_white57,1686050,869,3555,37796,3011,2.42,Photo,#foodie,1117978,1466701,,12,25,India,Music,No,Active
INF3939,Sophia Wilson,sophia_wilson87,697380,444,2076,45103,3030,6.9,Video,"#foodie, #tech",461636,906986,,10,38,USA,Beauty,No,Active
INF5025,Daniel Martinez,james_anderson63,2573576,166,2694,70086,2968,2.84,Video,"#music, #fashion",1917036,2781821,,4,6,USA,Food,Yes,Inactive
INF5896,Daniel Martinez,daniel_martinez55,1974812,95,2879,27589,1966,1.5,Photo,#travel,1253464,1583993,,10,27,Italy,Fashion,Yes,Active
INF9700,Alice Johnson,michael_brown47,2626500,289,452,67695,6392,2.82,Reel,#fitness,1320055,2305907,,4,3,India,Fashion,Yes,Inactive
INF1487,Alice Johnson,alice_johnson95,3859091,476,2671,80470,5626,2.23,Story,"#travel, #fitness, #music",1948699,3170937,895623,16,14,Brazil,Photography,No,Active
INF4615,David Smith,daniel_martinez17,381070,339,4567,10506,462,2.88,Photo,"#fitness, #tech, #fashion, #love",113627,165552,,14,47,France,Photography,Yes,Inactive
INF6584,Ethan White,james_anderson33,1564147,52,1710,16372,444,1.08,Story,"#fashion, #instagood, #tech",932921,1628551,499802,15,50,India,Gaming,Yes,Inactive
INF5207,Daniel Martinez,daniel_martinez44,315778,380,1203,30539,614,9.87,Story,"#foodie, #tech, #instagood, #fitness, #beauty",124695,206758,56965,14,17,Australia,Tech,No,Active
INF4486,David Smith,olivia_taylor14,1968992,235,1162,127911,4068,6.7,Reel,"#beauty, #music, #instagood, #foodie, #gaming",1074918,2010046,,12,8,Australia,Fashion,No,Active
INF7709,James Anderson,olivia_taylor23,1203013,964,1090,14120,1208,1.27,Story,#travel,601153,898342,385053,2,27,France,Gaming,No,Inactive
INF2957,Isabella Thomas,sophia_wilson49,363702,727,2674,3943,124,1.12,Reel,"#music, #tech, #travel, #beauty",174796,327779,,15,26,Brazil,Fashion,Yes,Active
INF5353,Sophia Wilson,alice_johnson22,4442015,917,1870,390073,24434,9.33,Reel,#instagood,2934373,5251549,,10,25,Italy,Food,Yes,Inactive
INF1421,Sophia Wilson,david_smith21,2493420,776,888,57045,5558,2.51,Video,"#tech, #beauty",1249824,1943070,,13,1,Germany,Gaming,No,Inactive
INF8960,Emily Davis,alice_johnson69,1104704,691,667,81989,2959,7.69,Video,#travel,354766,676437,,18,22,UK,Fitness,Yes,Inactive
INF8570,James Anderson,ethan_white52,4432197,791,1275,145509,3191,3.35,Photo,#travel,1047156,1803031,,18,32,Germany,Comedy,Yes,Inactive
INF9354,Emily Davis,isabella_thomas90,4645121,706,819,308761,27544,7.24,Video,"#foodie, #music, #gaming, #love",2034367,2910791,,20,20,France,Fitness,Yes,Inactive
INF3613,David Smith,michael_brown78,1644932,737,571,157498,8010,10.06,Reel,#instagood,345062,540285,,2,18,Germany,Beauty,No,Active
INF6786,Michael Brown,michael_brown36,4514818,637,3121,233927,22496,5.68,Reel,"#gaming, #travel",2482522,4410220,,13,36,Australia,Fashion,Yes,Inactive
INF4287,Emily Davis,james_anderson94,306821,328,2875,14323,614,4.87,Photo,"#love, #tech",102292,193466,,3,19,UK,Travel,No,Inactive
INF4024,Ethan White,olivia_taylor59,2209777,543,1427,36983,3030,1.81,Video,"#beauty, #tech, #music, #gaming, #fashion",610333,1030765,,1,45,USA,Food,No,Inactive
INF5309,Daniel Martinez,alice_johnson80,2920042,620,4716,284025,14633,10.23,Photo,"#instagood, #love, #gaming",1905753,3766395,,11,36,India,Comedy,No,Active
INF3697,Olivia Taylor,michael_brown18,3886803,500,2106,366605,12176,9.75,Photo,"#instagood, #love, #music",2463346,3235303,,9,17,Canada,Beauty,Yes,Inactive
INF1453,Olivia Taylor,daniel_martinez18,4685147,297,2842,23492,643,0.52,Story,"#foodie, #travel",1562302,2013276,487730,15,21,Brazil,Food,Yes,Inactive
INF4753,Emily Davis,sophia_wilson78,425852,701,2333,41251,2318,10.23,Story,"#foodie, #travel, #tech",121014,215608,36937,19,29,Australia,Beauty,Yes,Inactive
INF9917,David Smith,david_smith17,3071526,709,4323,104083,2237,3.46,Video,"#tech, #love",1904203,3266446,,17,26,France,Photography,Yes,Inactive
INF9100,David Smith,sophia_wilson12,1783772,121,3375,143663,4210,8.29,Photo,"#instagood, #beauty",377448,703899,,19,2,France,Comedy,No,Inactive
INF7215,Ethan White,isabella_thomas72,1001507,860,1111,98031,5718,10.36,Reel,"#beauty, #foodie, #travel, #tech, #fashion",249841,426536,,4,1,France,Comedy,No,Active
INF8741,Sophia Wilson,michael_brown61,3317291,63,183,48178,2603,1.53,Reel,#beauty,2176299,3926415,,9,43,Canada,Comedy,No,Inactive
INF5126,Emily Davis,david_smith54,1442488,339,460,126778,7258,9.29,Story,"#travel, #love, #gaming, #instagood, #foodie",768935,1061330,260113,20,50,Italy,Gaming,Yes,Active
INF2252,Michael Brown,sophia_wilson85,2588783,431,4083,147152,3011,5.8,Story,#fashion,760970,914460,264818,13,17,India,Food,Yes,Inactive
INF9530,Emily Davis,sophia_wilson95,4491097,704,3172,233536,6695,5.35,Video,"#foodie, #gaming",3589763,4881373,,13,17,India,Photography,No,Active
INF8348,Emily Davis,alice_johnson66,3779507,432,1809,169998,4144,4.61,Story,"#music, #instagood, #gaming, #beauty",1585918,2906318,686996,12,19,Australia,Gaming,Yes,Active
INF4226,David Smith,ethan_white28,1280153,871,540,126439,12157,10.83,Photo,"#music, #travel, #tech",878962,1251846,,2,29,Canada,Fashion,No,Inactive
INF8569,Alice Johnson,daniel_martinez89,4216600,714,1117,248352,18714,6.33,Reel,"#gaming, #fitness, #foodie",1233172,1876339,,19,26,Japan,Gaming,Yes,Active
INF4495,Emily Davis,michael_brown82,1020666,246,3166,7855,664,0.83,Video,"#fitness, #love, #foodie, #travel, #music",351302,666746,,20,45,Australia,Gaming,No,Active
INF2703,Olivia Taylor,ethan_white59,187541,796,517,7401,202,4.05,Photo,"#travel, #fitness",65601,91237,,19,36,France,Tech,Yes,Inactive
INF5090,David Smith,ethan_white10,4093495,130,1015,227953,18331,6.02,Reel,"#instagood, #love",2380289,3228211,,15,19,UK,Fashion,Yes,Active
INF8403,Isabella Thomas,olivia_taylor65,3986774,899,1887,231475,9662,6.05,Video,"#music, #fashion, #love",2091341,2786307,,15,23,UK,Photography,No,Inactive
INF7047,Daniel Martinez,daniel_martinez69,418561,667,1791,9831,679,2.51,Video,"#fitness, #gaming, #love",118728,186063,,2,33,Australia,Music,Yes,Active
INF1392,David Smith,james_anderson56,4936928,974,1952,468893,21569,9.93,Reel,"#fashion, #foodie, #travel",3426819,6316015,,17,36,USA,Tech,Yes,Active
INF5697,David Smith,james_anderson12,3980177,577,2579,89170,3679,2.33,Video,#foodie,1982826,3057489,,11,7,Germany,Music,No,Inactive
INF5591,James Anderson,sophia_wilson57,52365,415,1776,3476,334,7.28,Reel,"#fitness, #beauty",24849,31012,,13,43,Japan,Beauty,No,Active
INF2585,Ethan White,isabella_thomas94,2928269,520,2687,15326,1493,0.57,Story,"#travel, #tech, #beauty, #music",1856901,2656139,1180547,20,5,Brazil,Tech,Yes,Active
INF1615,James Anderson,alice_johnson74,4873142,335,4844,209129,15860,4.62,Story,"#instagood, #fashion, #gaming, #tech, #music",1285707,2475835,529545,8,14,France,Tech,No,Active
INF2166,David Smith,olivia_taylor30,3400742,212,1295,219043,14075,6.85,Photo,#tech,1272223,1740867,,12,44,UK,Food,No,Inactive
INF1314,James Anderson,david_smith44,4174575,213,2097,47321,4510,1.24,Video,"#tech, #travel, #fitness, #fashion, #foodie",2927739,5666776,,15,29,France,Fitness,Yes,Active
INF7736,Daniel Martinez,isabella_thomas26,1631399,914,1430,110353,4909,7.07,Story,"#tech, #travel, #foodie, #instagood",1089713,1811729,336413,20,26,France,Food,No,Active
INF7585,Olivia Taylor,isabella_thomas41,1513561,765,1630,107528,7993,7.63,Reel,"#tech, #beauty, #fashion",950753,1653408,,20,30,Brazil,Beauty,Yes,Inactive
INF3900,Emily Davis,sophia_wilson31,1061037,240,1486,42041,2800,4.23,Photo,"#tech, #instagood, #foodie, #beauty, #love",734547,1448666,,0,26,Italy,Fitness,No,Active
INF9988,Michael Brown,olivia_taylor92,43362,954,3393,3205,213,7.88,Reel,"#fitness, #gaming, #tech, #travel",24550,29864,,12,24,UK,Comedy,No,Inactive
INF1819,Isabella Thomas,olivia_taylor90,2297378,923,3717,169122,9598,7.78,Video,"#fashion, #beauty, #instagood, #gaming, #fitness",655128,884420,,9,32,Australia,Travel,Yes,Active
INF3168,Michael Brown,james_anderson94,4248332,629,821,418891,15309,10.22,Photo,"#music, #love, #travel, #gaming, #fitness",2015561,3475604,,16,27,USA,Comedy,Yes,Inactive
INF5275,Alice Johnson,alice_johnson31,3050201,128,751,95542,5999,3.33,Video,"#beauty, #instagood, #gaming, #fitness",1336741,2362205,,14,38,Brazil,Fitness,Yes,Active
INF7896,Michael Brown,emily_davis79,3044525,717,1279,139184,7386,4.81,Reel,"#fitness, #tech",756034,1235962,,0,32,Australia,Travel,Yes,Inactive
INF5629,Isabella Thomas,olivia_taylor91,4428334,195,1881,398656,23600,9.54,Reel,"#travel, #instagood, #beauty, #tech, #foodie",927806,1722538,,3,3,Canada,Music,No,Inactive
INF7729,Sophia Wilson,michael_brown12,525915,754,3067,20546,582,4.02,Story,#travel,291966,534482,191176,17,18,UK,Gaming,Yes,Active
INF2088,Ethan White,ethan_white65,4384395,631,1128,368656,23896,8.95,Story,"#fashion, #foodie, #gaming, #travel",2772281,3701150,1084789,8,45,Australia,Comedy,Yes,Inactive
INF7268,Michael Brown,emily_davis87,4124974,340,2850,132972,6879,3.39,Reel,"#tech, #instagood, #fashion",3215984,5619831,,4,49,France,Fitness,No,Active
INF4520,Alice Johnson,ethan_white33,2860128,465,2462,104964,5731,3.87,Story,"#beauty, #love, #foodie, #fitness, #instagood",1758393,2319186,665739,3,25,France,Comedy,Yes,Inactive
INF2885,Daniel Martinez,olivia_taylor83,3551102,82,2477,180211,8460,5.31,Video,"#gaming, #fashion, #instagood",1152102,1460057,,2,18,France,Fitness,No,Inactive
INF1990,Emily Davis,alice_johnson56,1774230,82,1497,75887,4671,4.54,Reel,"#tech, #beauty, #instagood, #fashion, #foodie",1371400,2256670,,8,32,India,Travel,Yes,Active
INF4726,Isabella Thomas,sophia_wilson51,3832952,627,1600,315682,11532,8.54,Video,#gaming,1263468,2411915,,4,1,Germany,Beauty,Yes,Inactive
INF4409,David Smith,james_anderson93,1318765,392,3417,21957,703,1.72,Video,"#instagood, #music, #foodie, #fitness",786788,988040,,3,23,Germany,Tech,Yes,Active
INF2270,Daniel Martinez,alice_johnson87,2969507,612,3717,98736,6074,3.53,Story,"#fashion, #travel, #gaming",1265673,2215064,770488,6,21,Italy,Tech,Yes,Inactive
INF8234,Alice Johnson,michael_brown66,3997268,990,4837,54956,2074,1.43,Story,"#fashion, #tech, #travel, #love",3091309,4536039,1372998,5,9,Canada,Music,No,Active
INF2680,Daniel Martinez,emily_davis40,3209665,174,3009,19117,1041,0.63,Story,"#love, #music, #beauty",866031,1365464,568292,3,27,Japan,Food,No,Inactive
INF2214,Olivia Taylor,isabella_thomas69,3997258,784,2692,59109,5741,1.62,Video,#fitness,1275146,1735830,,14,27,Germany,Travel,Yes,Inactive
INF5573,Isabella Thomas,olivia_taylor67,408928,435,3575,5558,199,1.41,Reel,"#music, #beauty",139134,237438,,0,28,Japan,Music,No,Inactive
INF1312,Daniel Martinez,sophia_wilson80,1870866,931,4505,128281,9596,7.37,Video,#foodie,724950,1155182,,11,26,Japan,Music,Yes,Inactive
INF4087,Alice Johnson,ethan_white79,2004857,464,2761,169045,9542,8.91,Story,#tech,1124237,2237976,527751,0,42,USA,Beauty,Yes,Inactive
INF8926,Olivia Taylor,michael_brown96,4684196,383,4906,87940,8148,2.05,Story,"#fitness, #music, #travel, #gaming, #beauty",1247785,1798875,862952,14,7,Italy,Beauty,No,Active
INF9375,David Smith,michael_brown97,4206363,242,1315,303229,29814,7.92,Reel,"#instagood, #tech, #music, #travel",3048843,5245973,,7,46,USA,Fashion,Yes,Active
INF5239,Alice Johnson,isabella_thomas38,2053928,85,3951,48892,4028,2.58,Photo,"#travel, #fashion, #love",671958,1301821,,3,20,Japan,Gaming,No,Inactive
INF1235,Alice Johnson,ethan_white22,4801538,403,4374,305581,22103,6.82,Video,"#fashion, #fitness, #travel, #foodie, #music",1562530,2854781,,15,46,France,Fitness,Yes,Active
INF2286,Isabella Thomas,isabella_thomas38,1533616,554,4326,63802,5702,4.53,Story,"#music, #beauty",712530,1141690,223375,6,42,Italy,Music,Yes,Inactive
INF9241,Michael Brown,daniel_martinez98,1067990,660,2590,97149,8079,9.85,Reel,"#instagood, #travel, #music, #foodie, #fashion",343763,497898,,4,23,Australia,Music,No,Inactive
INF3687,Michael Brown,david_smith38,1592832,758,3736,134221,6924,8.86,Photo,#instagood,595535,1093821,,18,6,Australia,Comedy,Yes,Active
